head_UMLS_CUI	relation	tail_UMLS_CUI
C0038395	NDFRT	C2722300
C2700707	NDFRT	C0014547
C0033246	NDFRT	C3536355
C0040046	NDFRT	C3888231
C0005943	NDFRT	C0007561
C0520909	NDFRT	C0793481
C0009806	NDFRT	C4275539
C0011860	NDFRT	C0692630
C0042514	NDFRT	C1876857
C0006444	NDFRT	C0976133
C0011389	NDFRT	C0789817
C0162627	NDFRT	C0975387
C0040460	NDFRT	C0973898
C1535939	NDFRT	C0724713
C0775600	NDFRT	C0041976
C0034530	NDFRT	C0037521
C0021603	NDFRT	C0981440
C0035455	NDFRT	C4237716
C0020625	NDFRT	C0980202
C0030200	NDFRT	C0978739
C0037299	NDFRT	C0977852
C0080274	NDFRT	C0688035
C0020649	NDFRT	C1298492
C0020542	NDFRT	C1319728
C0030193	NDFRT	C0979816
C4541829	NDFRT	C0040259
C0032964	NDFRT	C0938657
C0162627	NDFRT	C0981356
C0690619	NDFRT	C0021368
C1533389	NDFRT	C0038395
C0976130	NDFRT	C0027430
C4082712	NDFRT	C0232488
C0038379	NDFRT	C2719424
C0013295	NDFRT	C1509586
C0030200	NDFRT	C4541687
C0028754	NDFRT	C0282304
C0027430	NDFRT	C0976138
C0027947	NDFRT	C1345075
C0007166	NDFRT	C4082873
C0035243	NDFRT	C0981212
C0021359	NDFRT	C1595249
C0162627	NDFRT	C0978569
C0002962	NDFRT	C0981606
C0002963	NDFRT	C0791381
C0021359	NDFRT	C1276924
C0007134	NDFRT	C0021741
C0021603	NDFRT	C3854985
C0039240	NDFRT	C0979931
C0014869	NDFRT	C0688332
C0005308	NDFRT	C0033775
C1269683	NDFRT	C1699037
C0703658	NDFRT	C0022729
C0030193	NDFRT	C0691095
C0014869	NDFRT	C0052993
C0020456	NDFRT	C4056562
C0006266	NDFRT	C4074403
C0004623	NDFRT	C1345132
C0014547	NDFRT	C0979445
C0977841	NDFRT	C0023443
C0037286	NDFRT	C2346190
C0001144	NDFRT	C0302960
C0979732	NDFRT	C2937421
C0002963	NDFRT	C1329805
C0004623	NDFRT	C4490167
C0018834	NDFRT	C0974180
C0002395	NDFRT	C0981715
C0026838	NDFRT	C0688562
C0014358	NDFRT	C3159429
C0042963	NDFRT	C1168721
C0428977	NDFRT	C0700536
C0428977	NDFRT	C0994340
C0030193	NDFRT	C3204562
C0009324	NDFRT	C0355809
C0162316	NDFRT	C0691433
C0021368	NDFRT	C0689175
C0010068	NDFRT	C0694327
C0016053	NDFRT	C1613977
C0039240	NDFRT	C4317193
C0982226	NDFRT	C0027055
C0022568	NDFRT	C0975946
C0693523	NDFRT	C0020437
C0028715	NDFRT	C0780194
C0024419	NDFRT	C4048565
C0003873	NDFRT	C1177389
C0007787	NDFRT	C0691142
C0974227	NDFRT	C0003578
C0027051	NDFRT	C4046770
C0521170	NDFRT	C2949324
C0036572	NDFRT	C0692009
C0011581	NDFRT	C1695322
C0043241	NDFRT	C0978881
C0981499	NDFRT	C0038587
C0008677	NDFRT	C3162476
C3887868	NDFRT	C0042164
C3475333	NDFRT	C0001623
C0022104	NDFRT	C1165048
C0014553	NDFRT	C1164731
C0018834	NDFRT	C0689796
C0018190	NDFRT	C3887736
C0020517	NDFRT	C0974097
C4082684	NDFRT	C0023467
C0004623	NDFRT	C0991657
C0033740	NDFRT	C0976736
C0003873	NDFRT	C1319624
C0014868	NDFRT	C1816183
C0026896	NDFRT	C0027680
C0038160	NDFRT	C0980947
C0003868	NDFRT	C0690617
C0042029	NDFRT	C0978536
C0027497	NDFRT	C0057598
C0018567	NDFRT	C0977342
C0689574	NDFRT	C0018133
C0030193	NDFRT	C0979147
C0024121	NDFRT	C1735407
C0027497	NDFRT	C0053789
C0004238	NDFRT	C1532857
C0007557	NDFRT	C0038395
C4082911	NDFRT	C0011581
C0004239	NDFRT	C0994953
C0004623	NDFRT	C0355979
C0976659	NDFRT	C0042510
C0700446	NDFRT	C0032965
C0009324	NDFRT	C0770565
C0023418	NDFRT	C4082214
C0002963	NDFRT	C1329803
C0149721	NDFRT	C0066685
C0026764	NDFRT	C0977846
C0010346	NDFRT	C3847978
C0085426	NDFRT	C4082866
C0041408	NDFRT	C0980338
C0011603	NDFRT	C0981052
C0020517	NDFRT	C0974117
C0008049	NDFRT	C0980943
C0007716	NDFRT	C0038160
C0014836	NDFRT	C0027353
C0030201	NDFRT	C4294579
C0011175	NDFRT	C0980241
C0980948	NDFRT	C0011991
C1263846	NDFRT	C4306821
C0042769	NDFRT	C0771161
C0042018	NDFRT	C0980247
C0011991	NDFRT	C0975486
C0028768	NDFRT	C2365905
C0979539	NDFRT	C0018671
C0013238	NDFRT	C2369199
C0031762	NDFRT	C0976393
C0702912	NDFRT	C0030201
C0006846	NDFRT	C1964498
C0010346	NDFRT	C0666743
C0023219	NDFRT	C0974946
C0027051	NDFRT	C3495636
C0019521	NDFRT	C0688308
C0018021	NDFRT	C0980708
C0013395	NDFRT	C0980192
C0691175	NDFRT	C0013456
C0035457	NDFRT	C3864327
C0014121	NDFRT	C0978884
C0691502	NDFRT	C0010200
C0020557	NDFRT	C0975620
C0028754	NDFRT	C0142278
C0006625	NDFRT	C2733637
C0037199	NDFRT	C0690474
C0015456	NDFRT	C0055899
C0027947	NDFRT	C0687904
C0003872	NDFRT	C1827446
C0004623	NDFRT	C1621993
C0014836	NDFRT	C0978525
C0030319	NDFRT	C4048203
C0036508	NDFRT	C0005308
C0036508	NDFRT	C0975781
C0038013	NDFRT	C0138273
C0019342	NDFRT	C0977853
C0033975	NDFRT	C3200624
C0024299	NDFRT	C3871505
C0029291	NDFRT	C3883337
C0011581	NDFRT	C4082920
C0015967	NDFRT	C0793407
C0003123	NDFRT	C0771998
C0026636	NDFRT	C1329185
C0004096	NDFRT	C0976572
C0006266	NDFRT	C2343197
C0032343	NDFRT	C0978005
C0009324	NDFRT	C3495379
C0016509	NDFRT	C0612688
C0082787	NDFRT	C0016509
C0014557	NDFRT	C0979502
C0008354	NDFRT	C3887715
C0080274	NDFRT	C0980494
C0042029	NDFRT	C0979168
C0976765	NDFRT	C0033578
C0004626	NDFRT	C0975322
C0015503	NDFRT	C3265330
C0026764	NDFRT	C4083191
C0006277	NDFRT	C2609711
C0079487	NDFRT	C0981209
C0042514	NDFRT	C0774581
C0040425	NDFRT	C0542997
C0016509	NDFRT	C0977582
C0037199	NDFRT	C0688349
C0001627	NDFRT	C0775271
C0011581	NDFRT	C0874618
C0030193	NDFRT	C0978429
C0024530	NDFRT	C0979936
C0011854	NDFRT	C2683620
C0002965	NDFRT	C0977444
C0018834	NDFRT	C0688331
C0775765	NDFRT	C0019112
C0042487	NDFRT	C3495672
C0018567	NDFRT	C1814298
C0032787	NDFRT	C0773222
C0982139	NDFRT	C0006266
C0026838	NDFRT	C0980741
C0009324	NDFRT	C0977628
C4281848	NDFRT	C0027947
C0037278	NDFRT	C4048487
C0039621	NDFRT	C3282147
C0020649	NDFRT	C3486191
C0013404	NDFRT	C0978743
C0025323	NDFRT	C0732025
C0006266	NDFRT	C2341458
C0004096	NDFRT	C1164681
C0020538	NDFRT	C0690397
C0008354	NDFRT	C1696546
C0038160	NDFRT	C0873452
C0030193	NDFRT	C0937759
C0038587	NDFRT	C0542905
C0005740	NDFRT	C0206664
C0005586	NDFRT	C0976474
C1263846	NDFRT	C0076823
C0022729	NDFRT	C0770666
C0040517	NDFRT	C1695419
C0009404	NDFRT	C3817062
C0041296	NDFRT	C0702788
C0025322	NDFRT	C0982721
C1967639	NDFRT	C0039614
C0035457	NDFRT	C0980843
C0688304	NDFRT	C0162565
C0038220	NDFRT	C4060033
C0525046	NDFRT	C4080162
C0013404	NDFRT	C3484809
C0030193	NDFRT	C0975207
C0011991	NDFRT	C0978332
C0042510	NDFRT	C0979844
C1458155	NDFRT	C3883464
C0002792	NDFRT	C0979817
C0018834	NDFRT	C2242276
C1995199	NDFRT	C0010674
C0036982	NDFRT	C0772979
C0024121	NDFRT	C0975285
C0019693	NDFRT	C0705877
C0428977	NDFRT	C0690479
C0979603	NDFRT	C0017178
C0036572	NDFRT	C2723481
C0020538	NDFRT	C0979732
C0033817	NDFRT	C0282242
C0020443	NDFRT	C0693848
C0020476	NDFRT	C2720026
C0030193	NDFRT	C1572772
C0021289	NDFRT	C0360192
C0975140	NDFRT	C0029456
C0019372	NDFRT	C0164815
C0026936	NDFRT	C3887715
C0016412	NDFRT	C0023413
C0029291	NDFRT	C3887713
C0040038	NDFRT	C0037513
C0700345	NDFRT	C0979076
C0975958	NDFRT	C0036262
C0003873	NDFRT	C1655503
C0593975	NDFRT	C0036920
C0002871	NDFRT	C1164829
C0010692	NDFRT	C0981468
C1878312	NDFRT	C0003868
C0042029	NDFRT	C0770666
C0033700	NDFRT	C0055003
C0694373	NDFRT	C0004626
C0020443	NDFRT	C2720035
C0004239	NDFRT	C0708928
C0018621	NDFRT	C0976145
C0027051	NDFRT	C1341009
C0038395	NDFRT	C4048347
C0011882	NDFRT	C0786262
C4048848	NDFRT	C0023895
C0026946	NDFRT	C1176487
C0017612	NDFRT	C0354540
C0979581	NDFRT	C0020437
C1338559	NDFRT	C0040479
C0023219	NDFRT	C0974945
C0398650	NDFRT	C0979992
C0011608	NDFRT	C1591333
C0004096	NDFRT	C0974235
C0028326	NDFRT	C0939100
C0006266	NDFRT	C0709708
C2365953	NDFRT	C0014553
C0031762	NDFRT	C1376965
C0041976	NDFRT	C0974668
C0006434	NDFRT	C0789653
C0975675	NDFRT	C0033700
C0085437	NDFRT	C0978624
C0033740	NDFRT	C0059562
C0017168	NDFRT	C0051156
C0030567	NDFRT	C0980034
C0030193	NDFRT	C1724245
C0015967	NDFRT	C0073983
C0042847	NDFRT	C0976011
C0036341	NDFRT	C0702531
C0018834	NDFRT	C4281997
C0022729	NDFRT	C0981318
C0043254	NDFRT	C0974587
C0692467	NDFRT	C0019163
C0036508	NDFRT	C0705397
C0033740	NDFRT	C0993191
C0027051	NDFRT	C0795668
C0040558	NDFRT	C0872849
C0019080	NDFRT	C1168875
C0001175	NDFRT	C0938593
C0014742	NDFRT	C0705898
C0030193	NDFRT	C0688477
C0688804	NDFRT	C0033578
C0162565	NDFRT	C0688300
C0032897	NDFRT	C1877849
C0013238	NDFRT	C1968466
C0042963	NDFRT	C0978362
C0030193	NDFRT	C0688670
C0085677	NDFRT	C0976021
C0689153	NDFRT	C0003469
C0021603	NDFRT	C0975075
C0042850	NDFRT	C0778919
C0014394	NDFRT	C0689188
C0027497	NDFRT	C0692645
C0979755	NDFRT	C0002878
C0042029	NDFRT	C0981318
C0015456	NDFRT	C0981429
C0027404	NDFRT	C3644779
C0018802	NDFRT	C0979038
C0006444	NDFRT	C0689174
C0042963	NDFRT	C4051134
C0023219	NDFRT	C0590312
C0018133	NDFRT	C1123025
C0038395	NDFRT	C0975369
C0524910	NDFRT	C0938630
C0015672	NDFRT	C0705972
C0003175	NDFRT	C1964287
C1697624	NDFRT	C0019829
C0039590	NDFRT	C0356884
C0002453	NDFRT	C0025147
C0027051	NDFRT	C0994952
C0002453	NDFRT	C0688043
C0038436	NDFRT	C0070122
C0780914	NDFRT	C0033740
C0021400	NDFRT	C0982214
C1164732	NDFRT	C0014553
C0010200	NDFRT	C0977275
C0014752	NDFRT	C1761636
C0011334	NDFRT	C0980253
C0002453	NDFRT	C0977238
C0007787	NDFRT	C0995060
C0022729	NDFRT	C0688223
C0008497	NDFRT	C0776123
C0025322	NDFRT	C0014942
C0020538	NDFRT	C1329801
C0035793	NDFRT	C3888048
C0019243	NDFRT	C2366367
C0030193	NDFRT	C0688319
C1263846	NDFRT	C4018726
C0035460	NDFRT	C2962739
C0780752	NDFRT	C0029458
C0691184	NDFRT	C0033774
C0792775	NDFRT	C0037769
C3859711	NDFRT	C0042510
C0688319	NDFRT	C0026837
C0030193	NDFRT	C2683495
C0282386	NDFRT	C0022729
C0033860	NDFRT	C0692452
C0019342	NDFRT	C2683922
C0020557	NDFRT	C0977005
C0009806	NDFRT	C0691615
C0024305	NDFRT	C4282277
C0011860	NDFRT	C3257791
C0023890	NDFRT	C0688946
C0006625	NDFRT	C0980319
C0040156	NDFRT	C0775246
C0004623	NDFRT	C0977231
C0690680	NDFRT	C0001916
C0975386	NDFRT	C0018081
C0025323	NDFRT	C0976766
C0036572	NDFRT	C0974324
C0018802	NDFRT	C0979390
C0040259	NDFRT	C0978642
C0980837	NDFRT	C0007570
C0008049	NDFRT	C1623097
C0042029	NDFRT	C0688223
C3473494	NDFRT	C0001144
C0032302	NDFRT	C0778566
C0027726	NDFRT	C0784786
C0013537	NDFRT	C0785949
C0002395	NDFRT	C0981122
C0043124	NDFRT	C0789390
C0014175	NDFRT	C1615783
C0001396	NDFRT	C0977987
C0005586	NDFRT	C0979110
C0690623	NDFRT	C0003873
C0149778	NDFRT	C0975456
C0022729	NDFRT	C0978760
C0033860	NDFRT	C0702301
C0020456	NDFRT	C1949544
C0013238	NDFRT	C0979851
C0028840	NDFRT	C4082806
C0006118	NDFRT	C0979743
C0795650	NDFRT	C0079487
C2720040	NDFRT	C0020542
C0039240	NDFRT	C3692256
C0014544	NDFRT	C0703712
C0042510	NDFRT	C0692800
