id,UMLS_ID,name
335,C0002514,amino acid metabolism inborn errors
5699,C0002534,renal aminoacidurias
337,C0002555,aminoglutethimide
211,C0002555,agt
339,C0002563,aminolevulinic acid
341,C0002575,aminophylline
340,C0002586,aminophenazone
343,C0002598,amiodarone
345,C0002600,amitriptyline
350,C0002640,amobarbital
351,C0002641,amodiaquine
352,C0002644,amoxapine
353,C0002645,amoxicillin
357,C0002658,amphetamine
358,C0002679,amphotericin b
359,C0002680,ampicillin
361,C0002697,amrinone
362,C0002699,amsacrine
365,C0002711,amyl nitrite
366,C0002726,amyloidosis
369,C0002766,analgesia
4875,C0002768,pain insensitivity congenital
372,C0002871,anemia
373,C0002874,anemia aplastic
1117,C0002876,cda
374,C0002878,anemia hemolytic
375,C0002895,anemia sickle cell
5927,C0002895,scd
376,C0002896,anemia sideroblastic
377,C0002940,aneurysm
379,C0002962,angina pectoris
2322,C0002986,fabry disease
386,C0003076,aniridia
400,C0003125,anorexia nervosa
402,C0003143,antazoline
426,C0003315,apc
1092,C0003323,cd4
403,C0003420,antipyrine
414,C0003486,aortic aneurysm
461,C0003504,ar
415,C0003507,aortic valve stenosis
626,C0003524,azapropazone
431,C0003534,aphakia
437,C0003593,apob
442,C0003595,apoe
446,C0003596,apomorphine
448,C0003615,appendicitis
451,C0003639,aprindine
3670,C0003765,l arginine
502,C0003811,arrhythmias cardiac
501,C0003813,arrhythmia sinus
509,C0003838,arterial occlusive diseases
510,C0003850,arteriosclerosis
511,C0003860,arteritis
512,C0003864,arthritis
513,C0003868,arthritis gouty
515,C0003872,arthritis psoriatic
516,C0003873,arthritis rheumatoid
517,C0003886,arthrogryposis
523,C0003962,ascites
7112,C0003968,vitamin c
3671,C0003995,l asparagine
533,C0003999,aspartame
3672,C0004015,l aspartic acid
535,C0004030,aspergillosis
78,C0004057,acetylsalicylic acid
543,C0004093,asthenia
548,C0004147,atenolol
595,C0004234,atracurium
596,C0004238,atrial fibrillation
597,C0004239,atrial flutter
599,C0004259,atropine
3202,C0004259,hyoscyamine
608,C0004320,auranofin
614,C0004364,autoimmune diseases
999,C0004381,cars
625,C0004475,azacitidine
628,C0004482,azathioprine
635,C0004499,azlocillin
636,C0004521,aztreonam
654,C0004599,bacitracin
655,C0004609,baclofen
656,C0004623,bacterial infections
669,C0004763,barrett esophagus
671,C0004779,basal cell nevus syndrome
672,C0004782,basal ganglia diseases
703,C0004903,beckwith wiedemann syndrome
704,C0004905,beclomethasone
4100,C0004936,mental disease
706,C0004943,behcet syndrome
708,C0004975,bendroflumethiazide
3807,C0005038,lindane
711,C0005059,benzocaine
713,C0005096,benzphetamine
710,C0005098,benzatropine
715,C0005100,benzyl alcohol
719,C0005116,bepridil
720,C0005129,bernard soulier syndrome
724,C0005301,betahistine
725,C0005308,betamethasone
726,C0005320,betaxolol
727,C0005321,betazole
729,C0005324,bethanidine
732,C0005330,bezafibrate
745,C0005575,biotin
746,C0005578,biperiden
752,C0005632,bisacodyl
1883,C0005640,dicoumarol
7024,C0005686,urinary bladder diseases
754,C0005716,blastomycosis
755,C0005740,bleomycin
760,C0005740,blm
756,C0005744,blepharophimosis
757,C0005745,blepharoptosis
758,C0005747,blepharospasm
763,C0005779,blood coagulation disorders
765,C0005859,bloom syndrome
781,C0005911,body weight changes
782,C0005938,bone density
783,C0005940,bone diseases
784,C0005941,bone diseases developmental
785,C0005944,bone diseases metabolic
786,C0005956,bone marrow diseases
789,C0005974,bone resorption
799,C0006109,brain damage chronic
800,C0006111,brain diseases
801,C0006112,brain diseases metabolic
803,C0006114,brain edema
805,C0006118,brain neoplasms
821,C0006213,bromazepam
823,C0006220,bromhexine
824,C0006230,bromocriptine
827,C0006246,brompheniramine
829,C0006267,bronchiectasis
830,C0006277,bronchitis
848,C0006376,bumetanide
3765,C0006388,levobunolol
849,C0006400,bupivacaine
850,C0006403,bupranolol
851,C0006405,buprenorphine
853,C0006434,burns
855,C0006462,buspirone
856,C0006463,busulfan
857,C0006464,butabarbital
862,C0006491,butorphanol
1571,C0006560,crp
1220,C0006639,ceruletide
922,C0006644,caffeine
925,C0006657,calcidiol
926,C0006663,calcinosis
928,C0006674,calcitriol
930,C0006686,calcium chloride
953,C0006840,candidiasis
966,C0006938,captopril
1528,C0006938,cp
967,C0006945,carbachol
968,C0006949,carbamazepine
969,C0006976,carbenicillin
971,C0006982,carbidopa
972,C0006983,carbimazole
974,C0007001,carbohydrate metabolism inborn errors
977,C0007097,carcinoma
978,C0007121,carcinoma bronchogenic
1763,C0007124,dci
4045,C0007129,mcc
984,C0007193,cardiomyopathy dilated
985,C0007194,cardiomyopathy hypertrophic
987,C0007222,cardiovascular diseases
990,C0007248,carisoprodol
992,C0007257,carmustine
995,C0007273,carotid artery diseases
996,C0007282,carotid stenosis
1001,C0007299,carteolol
1020,C0007366,cat
1487,C0007407,comt
1165,C0007537,cefaclor
1166,C0007538,cefadroxil
1168,C0007541,cefamandole
1169,C0007546,cefazolin
1174,C0007549,cefmenoxime
1175,C0007550,cefmetazole
1176,C0007551,cefonicid
1177,C0007552,cefoperazone
1179,C0007554,cefotaxime
1180,C0007555,cefotetan
1181,C0007556,cefotiam
1182,C0007557,cefoxitin
1187,C0007559,ceftazidime
1189,C0007560,ceftizoxime
1190,C0007561,ceftriaxone
1191,C0007562,cefuroxime
1198,C0007682,central nervous system diseases
1199,C0007684,central nervous system infections
1164,C0007714,cefacetrile
1209,C0007716,cephalexin
1210,C0007721,cephaloglycin
1211,C0007727,cephaloridine
1167,C0007735,cefalotin
1186,C0007738,cefradine
1214,C0007760,cerebellar diseases
3411,C0007781,intracranial embolism and thrombosis
804,C0007786,brain ischemia
1217,C0007820,cerebrovascular disorders
1219,C0007839,cerulenin
1240,C0007959,charcot marie tooth disease
1251,C0008024,chenodeoxycholic acid
1252,C0008039,cheyne stokes respiration
1256,C0008066,child behavior disorders
1261,C0008149,chlamydia infections
1262,C0008163,chlorambucil
1026,C0008163,cbl
1263,C0008168,chloramphenicol
1405,C0008174,clorazepate
1264,C0008183,chlorcyclizine
1265,C0008188,chlordiazepoxide
1266,C0008196,chlorhexidine
1267,C0008217,chlormerodrin
1268,C0008223,chlormezanone
5430,C0008241,proguanil
1271,C0008269,chloroquine
1272,C0008273,chlorothiazide
1274,C0008280,chlorphenesin
1273,C0008281,chlorphenamine
1275,C0008286,chlorpromazine
1276,C0008287,chlorpropamide
1277,C0008290,chlorprothixene
1278,C0008294,chlorthalidone
1279,C0008296,chlorzoxazone
1285,C0008297,choanal atresia
1286,C0008318,cholecalciferol
1287,C0008350,cholelithiasis
1288,C0008370,cholestasis
1681,C0008381,cyp11a1
1289,C0008405,choline
1290,C0008487,chordoma
1291,C0008489,chorea
1292,C0008495,chorioamnionitis
1293,C0008525,choroideremia
1280,C0008525,chm
3018,C0008533,hemophilia b
2663,C0008555,gc
1317,C0008679,chronic disease
1329,C0008777,cilastatin
1333,C0008783,cimetidine
1338,C0008803,cinnarizine
1340,C0008806,cinoxacin
1341,C0008809,ciprofloxacin
1345,C0008838,cisplatin
1346,C0008845,citalopram
3674,C0008864,l citrulline
1373,C0008925,cleft palate
1374,C0008928,cleidocranial dysplasia
1375,C0008929,clemastine
1376,C0008932,clenbuterol
1381,C0008947,clindamycin
1397,C0008996,clofazimine
1399,C0009002,clofibrate
1227,C0009002,cfb
1400,C0009008,clomifene
1401,C0009010,clomipramine
1402,C0009011,clonazepam
1403,C0009014,clonidine
1406,C0009073,clotiazepam
1407,C0009074,clotrimazole
1408,C0009077,cloxacillin
1409,C0009079,clozapine
1434,C0009170,cocaine
1436,C0009187,coccidiosis
1438,C0009214,codeine
1470,C0009262,colchicine
1473,C0009279,colestipol
1474,C0009315,colistimethate
1475,C0009316,colistin
1476,C0009319,colitis
1477,C0009363,coloboma
1478,C0009373,colonic diseases
1479,C0009405,colorectal neoplasms hereditary nonpolyposis
1482,C0009447,common variable immunodeficiency
1483,C0009460,communication disorders
874,C0009519,c5
1488,C0009663,condylomata acuminata
1489,C0009676,confusion
1494,C0009763,conjunctivitis
1495,C0009766,conjunctivitis allergic
1496,C0009768,conjunctivitis bacterial
1497,C0009782,connective tissue diseases
1498,C0009792,consciousness disorders
1499,C0009806,constipation
1501,C0009917,contracture
1506,C0010034,corneal diseases
1507,C0010035,corneal dystrophies hereditary
1508,C0010035,corneal dystrophy
1509,C0010043,corneal ulcer
4395,C0010054,myocardial ischemia
1512,C0010068,coronary disease
920,C0010068,cad
1558,C0010132,crh
1514,C0010200,cough
2323,C0010269,facial neuralgia
1547,C0010273,craniofacial dysostosis
1550,C0010278,craniosynostoses
1554,C0010286,creatine
1491,C0010308,congenital hypothyroidism
1587,C0010417,cryptorchidism
6308,C0010461,sod1
1643,C0010481,cushing syndrome
1644,C0010495,cutis laxa
1660,C0010520,cyanosis
1669,C0010523,cyclacillin
1670,C0010525,cyclandelate
1671,C0010547,cyclizine
1673,C0010582,cyclopentolate
1674,C0010583,cyclophosphamide
1534,C0010583,cpm
1675,C0010590,cycloserine
1676,C0010592,cyclosporine
1721,C0010620,cyproheptadine
1725,C0010648,cysteamine
3675,C0010654,l cysteine
1726,C0010674,cystic fibrosis
3676,C0010682,l cystine
1727,C0010692,cystitis
1728,C0010711,cytarabine
1703,C0010763,cyp2e1
1736,C0010927,dacarbazine
1737,C0010934,dactinomycin
1742,C0010961,danazol
1743,C0010976,dantrolene
1750,C0010980,dapsone
1757,C0011015,daunorubicin
2997,C0011053,hearing loss
1792,C0011065,death
1793,C0011071,death sudden
1794,C0011082,debrisoquin
1800,C0011145,deferoxamine
1801,C0011156,deficiency diseases
1803,C0011168,deglutition disorders
1804,C0011175,dehydration
3027,C0011226,hepatitis d
1810,C0011265,dementia
1809,C0011276,demeclocycline
1812,C0011334,dental caries
1813,C0011351,dental enamel hypoplasia
1814,C0011389,dental plaque
1817,C0011570,depression
1820,C0011603,dermatitis
1823,C0011606,dermatitis exfoliative
1824,C0011608,dermatitis herpetiformis
2003,C0011609,drug eruptions
1821,C0011615,dermatitis atopic
1822,C0011616,dermatitis contact
1826,C0011630,dermatomycoses
1831,C0011685,desipramine
1832,C0011689,deslanoside
1834,C0011701,desmopressin
1828,C0011702,des
1836,C0011705,desonide
1837,C0011707,desoximetasone
1839,C0011777,dexamethasone
1841,C0011786,dexfenfluramine
1845,C0011812,dextroamphetamine
1846,C0011816,dextromethorphan
1848,C0011824,dextrothyroxine
1867,C0011848,diabetes insipidus
1868,C0011849,diabetes mellitus
1869,C0011875,diabetic angiopathies
3036,C0011892,heroin
1874,C0011991,diarrhea
1876,C0012004,diatrizoate
1877,C0012010,diazepam
1878,C0012022,diazoxide
1336,C0012050,cinchocaine
1881,C0012086,diclofenamide
1880,C0012091,diclofenac
1882,C0012093,dicloxacillin
1884,C0012125,dicyclomine
7200,C0012132,zalcitabine
1777,C0012132,ddc
1885,C0012133,didanosine
1886,C0012145,dienestrol
1887,C0012191,diethylcarbamazine
1888,C0012201,diethylpropion
1889,C0012203,diethylstilbestrol
1891,C0012228,diflunisal
1893,C0012242,digestive system diseases
1894,C0012243,digestive system neoplasms
1895,C0012258,digitoxin
1896,C0012265,digoxin
1899,C0012291,dihydroergotamine
3195,C0012306,hydromorphone
1900,C0012319,dihydrotachysterol
1902,C0012373,diltiazem
1903,C0012381,dimenhydrinate
1904,C0012383,dimercaprol
1906,C0012390,dimetindene
1905,C0012403,dimethyl sulfoxide
1908,C0012472,dinoprostone
1910,C0012498,diosmin
1912,C0012522,diphenhydramine
1914,C0012525,diphenoxylate
1917,C0012582,dipyridamole
1921,C0012702,disopyramide
3440,C0012715,iron metabolism disorders
1924,C0012739,disseminated intravascular coagulation
1925,C0012772,disulfiram
1959,C0012963,dobutamine
1967,C0013015,domperidone
1969,C0013030,dopamine
1973,C0013084,doxapram
1975,C0013085,doxepin
1976,C0013089,doxorubicin
167,C0013089,adm
1977,C0013090,doxycycline
1978,C0013092,doxylamine
1998,C0013136,droperidol
2004,C0013182,drug hypersensitivity
2006,C0013221,drug toxicity
4811,C0013231,otc
1938,C0013264,dmd
2029,C0013336,dwarfism
2030,C0013338,dwarfism pituitary
2032,C0013340,dydrogesterone
2036,C0013360,dyphylline
2043,C0013384,dyskinesias
2045,C0013390,dysmenorrhea
2046,C0013393,dysostoses
2047,C0013395,dyspepsia
2050,C0013447,ear diseases
2057,C0013537,eclampsia
2059,C0013547,econazole
2060,C0013575,ectodermal dysplasia
2061,C0013578,ectoparasitic infestations
2062,C0013581,ectopia lentis
2064,C0013592,ectropion
2065,C0013595,eczema
2068,C0013604,edema
2074,C0013615,edrophonium
2069,C0013618,edetic acid
2139,C0013853,eng
2280,C0013903,evc
2121,C0013922,embolism
2127,C0013990,emphysema
2131,C0014025,enalapril
2133,C0014055,encephalitis arbovirus
4036,C0014063,mbp
2135,C0014118,endocarditis
2137,C0014175,endometriosis
2138,C0014277,enflurane
2146,C0014310,enoxacin
2155,C0014356,enterocolitis
2158,C0014457,eosinophilia
2176,C0014479,ephedrine
2179,C0014518,epidermal necrolysis toxic
2180,C0014527,epidermolysis bullosa
2182,C0014544,epilepsy
2185,C0014563,epinephrine
2186,C0014582,epirubicin
2187,C0014591,epistaxis
2215,C0014695,ergocalciferol
2217,C0014704,ergonovine
2216,C0014708,ergoloid mesylate
2218,C0014710,ergotamine
2226,C0014743,erythema nodosum
2227,C0014758,erythrityl tetranitrate
2228,C0014806,erythromycin
2192,C0014822,epo
2233,C0014859,esophageal neoplasms
2234,C0014868,esophagitis
2241,C0014892,estazolam
2242,C0014912,estradiol
2244,C0014921,estramustine
2245,C0014927,estriol
1493,C0014938,conjugated estrogens
2246,C0014942,estrone
2252,C0014963,ethacrynic acid
2253,C0014964,ethambutol
2256,C0014987,ethchlorvynol
2259,C0015011,ethinyl estradiol
332,C0015020,amifostine
2260,C0015021,ethionamide
2261,C0015042,ethopropazine
2262,C0015043,ethosuximide
2263,C0015046,ethotoin
2265,C0015109,ethylmorphine
2267,C0015120,etidocaine
2268,C0015121,etidronic acid
2271,C0015131,etomidate
2273,C0015133,etoposide
2283,C0015230,exanthema
2289,C0015302,exostoses
2291,C0015306,ext1
2296,C0015393,eye abnormalities
2297,C0015397,eye diseases
2298,C0015414,eye neoplasms
2324,C0015499,factor v deficiency
2325,C0015503,factor vii deficiency
2326,C0015519,factor x deficiency
2327,C0015523,factor xi deficiency
2328,C0015526,factor xii deficiency
2329,C0015530,factor xiii deficiency
2448,C0015540,flavin adenine dinucleotide
2338,C0015620,famotidine
2357,C0015672,fatigue
2358,C0015695,fatty liver
2387,C0015772,felodipine
2388,C0015777,felypressin
2394,C0015837,fenoprofen
2395,C0015840,fenoterol
2396,C0015846,fentanyl
2350,C0015923,fas
2401,C0015967,fever
2435,C0016053,fibromyalgia
2436,C0016059,fibrosis
2449,C0016225,flavoxate
2451,C0016229,flecainide
2457,C0016245,floctafenine
2464,C0016267,flucloxacillin
2465,C0016277,fluconazole
2466,C0016278,flucytosine
2469,C0016280,fludrocortisone
2470,C0016293,flumazenil
2472,C0016295,flunarizine
2474,C0016296,flunitrazepam
2475,C0016298,fluocinolone acetonide
2476,C0016299,fluocinonide
2459,C0016343,floxuridine
2478,C0016351,fluorometholone
2479,C0016360,fluorouracil
2480,C0016365,fluoxetine
2481,C0016366,fluoxymesterone
2482,C0016367,flupentixol
2483,C0016368,fluphenazine
2485,C0016374,flurandrenolide
2486,C0016375,flurazepam
2487,C0016377,flurbiprofen
2488,C0016382,flushing
2489,C0016383,fluspirilene
2490,C0016384,flutamide
2504,C0016395,focal dermal hypoplasia
2506,C0016410,folic acid
2507,C0016436,folliculitis
2513,C0016470,food hypersensitivity
2514,C0016509,foot dermatoses
2522,C0016610,fosfomycin
2546,C0016658,fractures bone
2548,C0016673,framycetin
2567,C0016855,furazolidone
2569,C0016860,furosemide
2572,C0016875,fusidic acid
2621,C0016967,galantamine
2625,C0016972,gallamine triethiodide
2909,C0016989,gsr
2639,C0017066,ganciclovir
2643,C0017097,gardner syndrome
2649,C0017152,gastritis
2650,C0017160,gastroenteritis
2651,C0017181,gastrointestinal hemorrhage
2652,C0017185,gastrointestinal neoplasms
2686,C0017245,gemfibrozil
6551,C0017375,tat
2689,C0017416,genital neoplasms female
2690,C0017417,genital neoplasms male
2692,C0017440,gentian violet
2910,C0017495,gss
2715,C0017563,gingival diseases
2732,C0017601,glaucoma
2733,C0017612,glaucoma open angle
2695,C0017626,gfap
2771,C0017628,glyburide
2740,C0017631,gliclazide
2742,C0017642,glipizide
2666,C0017687,gcg
2761,C0017718,glucosamine
2589,C0017757,g6pd
2832,C0017759,gpi
2757,C0017767,gls
3678,C0017797,l glutamine
2767,C0017817,glutathione
2769,C0017845,glutethimide
4609,C0017887,nitroglycerin
2773,C0017890,glycine
2775,C0017970,glycopyrrolate
2813,C0018021,goiter
2815,C0018051,gonadal dysgenesis
2859,C0018133,graft vs host disease
2864,C0018213,graves disease
2889,C0018242,griseofulvin
2902,C0018273,growth disorders
2926,C0018312,guanabenz
2927,C0018318,guanethidine
2929,C0018320,guanidine
2952,C0018500,hair diseases
2957,C0018546,haloperidol
2959,C0018549,halothane
2960,C0018553,hamartoma syndrome multiple
1589,C0018553,cs
5750,C0018621,rhinitis allergic seasonal
2994,C0018671,head and neck neoplasms
2998,C0018790,heart arrest
2999,C0018794,heart block
3000,C0018798,heart defects congenital
3001,C0018799,heart diseases
982,C0018800,cardiomegaly
3002,C0018801,heart failure
3003,C0018809,heart neoplasms
3004,C0018810,heart rate
3005,C0018816,heart septal defects
3006,C0018823,heart transplantation
3007,C0018824,heart valve diseases
3009,C0018889,helminthiasis
3010,C0018916,hemangioma
3011,C0018920,hemangioma cavernous
3012,C0018923,hemangiosarcoma
3013,C0018939,hematologic diseases
3015,C0018944,hematoma
2969,C0019018,hba1
2970,C0019019,hba2
3017,C0019069,hemophilia a
3019,C0019080,hemorrhage
3020,C0019099,hemorrhagic fever crimean
3022,C0019156,hepatic veno occlusive disease
3023,C0019158,hepatitis
3024,C0019163,hepatitis b
3026,C0019189,hepatitis chronic
3028,C0019195,hepatitis viral human
3025,C0019196,hepatitis c
3029,C0019217,heptabarbital
3037,C0019348,herpes simplex
3038,C0019372,herpesviridae infections
3043,C0019435,hexachlorophene
314,C0019453,altretamine
3045,C0019469,hexobarbital
7120,C0019562,von hippel lindau disease
7096,C0019562,vhl
3061,C0019572,hirsutism
3679,C0019602,l histidine
3064,C0019624,histiocytosis non langerhans cell
3065,C0019693,hiv infections
3068,C0019728,hla a
3069,C0019737,hla b
3070,C0019751,hla c
3076,C0019763,hla dra
3086,C0019796,hmgb1
5526,C0020063,pth
3182,C0020179,huntington disease
3188,C0020223,hydralazine
5274,C0020224,polyhydramnios
3189,C0020255,hydrocephalus
3190,C0020261,hydrochlorothiazide
3191,C0020264,hydrocodone
3193,C0020268,hydrocortisone
3194,C0020273,hydroflumethiazide
3196,C0020316,hydroxocobalamin
3197,C0020336,hydroxychloroquine
3198,C0020388,hydroxyproline
3200,C0020402,hydroxyurea
3201,C0020404,hydroxyzine
3203,C0020428,hyperaldosteronism
3205,C0020433,hyperbilirubinemia
3206,C0020435,hyperbilirubinemia hereditary
3208,C0020437,hypercalcemia
3209,C0020438,hypercalciuria
3210,C0020456,hyperglycemia
3211,C0020458,hyperhidrosis
3213,C0020459,hyperinsulinism
3214,C0020461,hyperkalemia
3215,C0020488,hypernatremia
3216,C0020497,hyperostosis cortical congenital
3217,C0020502,hyperparathyroidism
3219,C0020517,hypersensitivity
3220,C0020522,hypersensitivity delayed
3221,C0020538,hypertension
3222,C0020541,hypertension portal
3223,C0020542,hypertension pulmonary
3224,C0020550,hyperthyroidism
3225,C0020564,hypertrophy
3228,C0020595,hypoaldosteronism
3229,C0020598,hypocalcemia
3231,C0020615,hypoglycemia
3232,C0020619,hypogonadism
3233,C0020621,hypokalemia
3234,C0020625,hyponatremia
3235,C0020626,hypoparathyroidism
3238,C0020631,hypophosphatemia familial
3240,C0020639,hypoproteinemia
3242,C0020649,hypotension
3725,C0020649,lbp
3243,C0020655,hypothalamic diseases
3245,C0020672,hypothermia
3246,C0020676,hypothyroidism
3247,C0020678,hypotrichosis
3252,C0020740,ibuprofen
3258,C0020757,ichthyosis
3272,C0020786,ids
3264,C0020789,idarubicin
3271,C0020811,idoxuridine
3288,C0020823,ifosfamide
3363,C0020933,imipenem
3364,C0020934,imipramine
3366,C0020951,immune complex diseases
3368,C0021051,immunologic deficiency syndromes
3367,C0021053,immune system diseases
3369,C0021070,immunoproliferative disorders
3378,C0021171,incontinentia pigmenti
3380,C0021186,indapamide
3383,C0021246,indomethacin
3385,C0021308,infarction
3388,C0021359,infertility
3389,C0021364,infertility male
3390,C0021368,inflammation
3391,C0021390,inflammatory bowel diseases
3398,C0021640,ins
3284,C0021745,ifng
3328,C0021755,il1b
3334,C0021756,il2
3344,C0021757,il3
3347,C0021758,il4
3350,C0021759,il5
3352,C0021760,il6
3049,C0021760,hgf
3355,C0021761,il7
6049,C0021791,si
3405,C0021818,intervertebral disc displacement
3406,C0021828,intestinal atresia
3407,C0021841,intestinal neoplasms
3408,C0021843,intestinal obstruction
3414,C0021936,inulin
6808,C0021965,tpo
3417,C0021971,iodipamide
3420,C0022026,iopamidol
3421,C0022028,iopanoic acid
3422,C0022029,iophendylate
3447,C0022116,ischemia
155,C0022134,adenoma islet cell
3453,C0022154,isocarboxazid
3454,C0022176,isoetarine
3455,C0022180,isoflurane
3456,C0022181,isoflurophate
3680,C0022192,l isoleucine
3458,C0022209,isoniazid
3459,C0022245,isoprenaline
3461,C0022252,isosorbide dinitrate
3464,C0022265,isotretinoin
3465,C0022267,isoxsuprine
3498,C0022322,ivermectin
3508,C0022346,jaundice
3509,C0022353,jaundice neonatal
3510,C0022408,joint diseases
3511,C0022419,josamycin
3644,C0022457,kras
3521,C0022487,kanamycin
3579,C0022546,kel
3580,C0022548,keloid
3582,C0022568,keratitis
3583,C0022578,keratoconus
3585,C0022593,keratosis
1751,C0022595,darier disease
3586,C0022614,ketamine
3589,C0022625,ketoconazole
3590,C0022635,ketoprofen
3592,C0022642,ketotifen
5698,C0022646,ren
3596,C0022658,kidney diseases
3599,C0022665,kidney neoplasms
3600,C0022671,kidney transplantation
3694,C0022860,labetalol
4742,C0022876,obstetric labor premature
3695,C0022890,labyrinthitis
3698,C0022927,lactation disorders
3699,C0022951,lactose intolerance
3700,C0022957,lactulose
1744,C0023139,dao
3727,C0023194,lcat
3741,C0023241,legionnaires disease
3742,C0023281,leishmaniasis
3681,C0023401,l leucine
3752,C0023413,leucovorin
3753,C0023418,leukemia
3754,C0023443,leukemia hairy cell
3755,C0023448,leukemia lymphoid
3756,C0023470,leukemia myeloid
3757,C0023510,leukocyte disorders
3758,C0023521,leukodystrophy globoid cell
3759,C0023522,leukodystrophy metachromatic
5234,C0023524,pml
3762,C0023530,leukopenia
3763,C0023554,levallorphan
3772,C0023566,levonorgestrel
3677,C0023570,l dopa
3773,C0023586,levorphanol
2816,C0023610,gonadorelin
3865,C0023645,lpp
3793,C0023660,lidocaine
3806,C0023726,lincomycin
3816,C0023772,lipid metabolism inborn errors
3818,C0023787,lipodystrophy
3819,C0023791,lipoic acid
3817,C0023794,lipidoses
3864,C0023816,lpl
3824,C0023863,lisuride
3826,C0023870,lithium
3827,C0023890,liver cirrhosis
3828,C0023892,liver cirrhosis biliary
3829,C0023895,liver diseases
3831,C0023903,liver neoplasms
3832,C0023911,liver transplantation
3844,C0023972,lomustine
3845,C0023976,long qt syndrome
3846,C0023992,loperamide
3849,C0024002,lorazepam
3853,C0024027,lovastatin
3855,C0024056,loxapine
3894,C0024071,lucanthone
3899,C0024115,lung diseases
5557,C0024117,pulmonary disease chronic obstructive
3901,C0024128,lung transplantation
3902,C0024137,lupus erythematosus cutaneous
3903,C0024141,lupus erythematosus systemic
3906,C0024198,lyme disease
3907,C0024200,lymecycline
3908,C0024223,lymphangiomyoma
3909,C0024236,lymphedema
3910,C0024299,lymphoma
3911,C0024305,lymphoma non hodgkin
3682,C0024337,l lysine
7137,C0024419,waldenstrom macroglobulinemia
4193,C0024429,mif
3926,C0024437,macular degeneration
3932,C0024452,mafenide
3944,C0024480,magnesium sulfate
3949,C0024523,malabsorption syndromes
3950,C0024530,malaria
3951,C0024537,malaria vivax
3952,C0024547,malathion
3957,C0024591,malignant hyperthermia
3968,C0024730,mannitol
4011,C0024778,maprotiline
4015,C0024796,marfan syndrome
4016,C0024809,marijuana abuse
4082,C0024965,mefv
4032,C0024977,mazindol
4063,C0025023,mebendazole
4064,C0025029,mecamylamine
4065,C0025033,mechlorethamine
4066,C0025039,meclizine
4067,C0025042,meclofenamic acid
4080,C0025152,mefenamic acid
4081,C0025153,mefloquine
4087,C0025202,melanoma
4088,C0025219,melatonin
4091,C0025241,melphalan
4092,C0025242,memantine
4093,C0025261,memory disorders
4338,C0025267,multiple endocrine neoplasia type 1
4094,C0025267,men1
4339,C0025268,multiple endocrine neoplasia type 2a
4095,C0025270,menadione
4096,C0025284,meningeal neoplasms
4097,C0025286,meningioma
4098,C0025289,meningitis
4099,C0025323,menorrhagia
4102,C0025368,menthol
5051,C0025376,pethidine
4105,C0025380,mephentermine
4149,C0025382,methylphenobarbital
4106,C0025384,mepivacaine
4107,C0025386,meprobamate
4114,C0025497,mesoridazine
4115,C0025506,mestranol
4117,C0025517,metabolic diseases
4118,C0025521,metabolism inborn errors
4119,C0025534,metal metabolism inborn errors
4122,C0025575,metaraminol
4124,C0025598,metformin
4126,C0025603,methacycline
4127,C0025605,methadone
4128,C0025607,methadyl acetate
