head	relation	tail
C1165066	subgroupOf	C0216784
C1164895	subgroupOf	C0733394
C0974797	subgroupOf	C0379135
C0693279	subgroupOf	C0700563
C3154649	subgroupOf	C1738934
C1967858	subgroupOf	C0117996
C0688803	subgroupOf	C0717752
C0938632	subgroupOf	C0796545
C3163638	subgroupOf	C0546864
C2584342	subgroupOf	C0001443
C0688493	subgroupOf	C0011777
C0874732	subgroupOf	C0700579
C0980639	subgroupOf	C0039840
C3668469	subgroupOf	C0055568
C0980167	subgroupOf	C0037138
C0789347	subgroupOf	C0770558
C0975711	subgroupOf	C0008947
C3464959	subgroupOf	C0288792
C4082683	subgroupOf	C0282388
C4018219	subgroupOf	C1742884
C3883335	subgroupOf	C0700451
C1602831	subgroupOf	C0028978
C3817072	subgroupOf	C3818721
C1948867	subgroupOf	C0074281
C1964982	subgroupOf	C0007248
C0978932	subgroupOf	C0027680
C0982911	subgroupOf	C0077004
C0694370	subgroupOf	C0020402
C0978280	subgroupOf	C0024337
C0875561	subgroupOf	C0055447
C0976944	subgroupOf	C0016277
C0978060	subgroupOf	C0699440
C0775083	subgroupOf	C0086140
C0937551	subgroupOf	C0025677
C1996405	subgroupOf	C1328071
C2241321	subgroupOf	C1321643
C0792391	subgroupOf	C0000970
C4056563	subgroupOf	C0016360
C0976909	subgroupOf	C0060282
C1948876	subgroupOf	C0073393
C0691331	subgroupOf	C0008405
C4317196	subgroupOf	C0026289
C1612428	subgroupOf	C0169964
C0979522	subgroupOf	C0071002
C0694105	subgroupOf	C0528166
C1562558	subgroupOf	C0527189
C0715738	subgroupOf	C0010592
C0981702	subgroupOf	C0034415
C0688388	subgroupOf	C0009074
C0980696	subgroupOf	C0040123
C4291391	subgroupOf	C2608550
C0688406	subgroupOf	C0009262
C0980207	subgroupOf	C0037494
C0976766	subgroupOf	C0059623
C1509279	subgroupOf	C0700480
C0980613	subgroupOf	C0039771
C4049035	subgroupOf	C0887621
C0979757	subgroupOf	C0032952
C0590311	subgroupOf	C0066700
C0708218	subgroupOf	C0978881
C0973784	subgroupOf	C0000981
C0786331	subgroupOf	C0009137
C0982884	subgroupOf	C0143083
C1695322	subgroupOf	C0700545
C0352842	subgroupOf	C0546862
C0352803	subgroupOf	C0028157
C0981598	subgroupOf	C0024477
C0980170	subgroupOf	C0074554
C0693523	subgroupOf	C0040866
C0975121	subgroupOf	C0006674
C0976705	subgroupOf	C0086248
C1168818	subgroupOf	C0163055
C0980679	subgroupOf	C0039955
C0786451	subgroupOf	C0031954
C0975388	subgroupOf	C0053882
C0976956	subgroupOf	C0016299
C0979174	subgroupOf	C0069739
C4056019	subgroupOf	C2936870
C0688877	subgroupOf	C0016277
C4057935	subgroupOf	C1522690
C1590182	subgroupOf	C0700596
C1361750	subgroupOf	C0282274
C0687871	subgroupOf	C0700523
C3883464	subgroupOf	C3853822
C0978651	subgroupOf	C0026088
C3855225	subgroupOf	C3179535
C0979273	subgroupOf	C0030350
C0689015	subgroupOf	C0079466
C1359442	subgroupOf	C0032831
C0707244	subgroupOf	C0064636
C2756937	subgroupOf	C0541315
C1168851	subgroupOf	C1099456
C0773663	subgroupOf	C0074774
C1585813	subgroupOf	C0009079
C0355667	subgroupOf	C0025382
C0709217	subgroupOf	C0591771
C0708654	subgroupOf	C0017887
C0995060	subgroupOf	C0004057
C0976203	subgroupOf	C0350422
C0687776	subgroupOf	C0000983
C2978534	subgroupOf	C0043491
C0689946	subgroupOf	C0700555
C0794670	subgroupOf	C0016410
C0975116	subgroupOf	C0065767
C4082912	subgroupOf	C0700545
C0981554	subgroupOf	C0024056
C0980637	subgroupOf	C0039840
C0687821	subgroupOf	C0019453
C4056548	subgroupOf	C0006405
C4473506	subgroupOf	C4078701
C0976434	subgroupOf	C0004963
C4048993	subgroupOf	C0355077
C3855018	subgroupOf	C3272698
C0694148	subgroupOf	C0246330
C3528743	subgroupOf	C3181682
C0939608	subgroupOf	C0012133
C0980002	subgroupOf	C0035608
C0980820	subgroupOf	C0040867
C1614061	subgroupOf	C0000608
C0702522	subgroupOf	C0014708
C0980597	subgroupOf	C0039771
C4058261	subgroupOf	C0025219
C4083416	subgroupOf	C1699861
C1814194	subgroupOf	C0004963
C0358338	subgroupOf	C0021027
C0978503	subgroupOf	C0721688
C0980703	subgroupOf	C0040134
C0975322	subgroupOf	C0007537
C1572367	subgroupOf	C0026933
C0693948	subgroupOf	C0043491
C1962375	subgroupOf	C0700596
C0980547	subgroupOf	C0546879
C0979391	subgroupOf	C0244718
C2684483	subgroupOf	C0546873
C0784241	subgroupOf	C0731033
C0975234	subgroupOf	C0006945
C0976218	subgroupOf	C0017725
C4282628	subgroupOf	C2608550
C0689017	subgroupOf	C0062092
C0976125	subgroupOf	C0057598
C0775549	subgroupOf	C0005059
C1614009	subgroupOf	C1260298
C0794895	subgroupOf	C0546869
C0977342	subgroupOf	C0018513
C0938657	subgroupOf	C0060276
C3692518	subgroupOf	C0033228
C0785997	subgroupOf	C0014563
C3859813	subgroupOf	C1739826
C3504777	subgroupOf	C2698764
C0705766	subgroupOf	C0027996
C0688158	subgroupOf	C0007537
C1572457	subgroupOf	C0070570
C0976879	subgroupOf	C0015846
C0981448	subgroupOf	C0700473
C0976422	subgroupOf	C0012472
C0980829	subgroupOf	C0770325
C0980572	subgroupOf	C0039771
C1814029	subgroupOf	C0596005
C0687973	subgroupOf	C0004609
C4082945	subgroupOf	C0700545
C1443685	subgroupOf	C0966225
C2343194	subgroupOf	C0004963
C0689442	subgroupOf	C1289957
C1995668	subgroupOf	C0700580
C1178368	subgroupOf	C0039736
C3530512	subgroupOf	C2827241
C0975735	subgroupOf	C0546860
C0702341	subgroupOf	C0066682
C4294572	subgroupOf	C3661315
C0977224	subgroupOf	C0063750
C0977226	subgroupOf	C0017890
C0981638	subgroupOf	C0282274
C0981575	subgroupOf	C0127615
C0974833	subgroupOf	C0770917
C1813149	subgroupOf	C0015846
C0979006	subgroupOf	C0770666
C0590979	subgroupOf	C0117996
C0702788	subgroupOf	C0022209
C4059407	subgroupOf	C3273711
C0980027	subgroupOf	C0762662
C1319775	subgroupOf	C0937950
C0979210	subgroupOf	C0282274
C0705940	subgroupOf	C0076829
C3644004	subgroupOf	C0028094
C0976914	subgroupOf	C0060282
C0691088	subgroupOf	C0000970
C0693825	subgroupOf	C0054836
C0701267	subgroupOf	C0028368
C2731791	subgroupOf	C0117996
C1572451	subgroupOf	C0546864
C0689741	subgroupOf	C0027607
C0688104	subgroupOf	C0006699
C0979991	subgroupOf	C0021027
C0976007	subgroupOf	C0042845
C0980466	subgroupOf	C0085149
C1813011	subgroupOf	C0065180
C1145603	subgroupOf	C0007560
C0979111	subgroupOf	C0171023
C0982825	subgroupOf	C0700349
C4238586	subgroupOf	C1722267
C0979107	subgroupOf	C0028902
C0689751	subgroupOf	C0028027
C0788614	subgroupOf	C0546869
C4256643	subgroupOf	C0304300
C0689390	subgroupOf	C0023972
C0689483	subgroupOf	C0025386
C0709777	subgroupOf	C0039771
C0693630	subgroupOf	C0216784
C1306064	subgroupOf	C0012265
C0975757	subgroupOf	C0009079
C0698117	subgroupOf	C0039771
C0977971	subgroupOf	C0022209
C0975351	subgroupOf	C0060400
C0982815	subgroupOf	C0017887
C0975762	subgroupOf	C0009137
C0687936	subgroupOf	C0085170
C1576493	subgroupOf	C1436328
C2926824	subgroupOf	C0246415
C0778370	subgroupOf	C0028902
C1169894	subgroupOf	C0066814
C0687904	subgroupOf	C0002679
C1145679	subgroupOf	C0886883
C0994340	subgroupOf	C0039771
C0980944	subgroupOf	C0909381
C0776168	subgroupOf	C0031955
C3888072	subgroupOf	C0879427
C0691837	subgroupOf	C0074722
C1639494	subgroupOf	C0010980
C1711709	subgroupOf	C0074757
C0691434	subgroupOf	C0060282
C3504773	subgroupOf	C2698764
C0981703	subgroupOf	C0034415
C0690776	subgroupOf	C0304426
C0691502	subgroupOf	C0018305
C0981576	subgroupOf	C0024472
C2718477	subgroupOf	C2719626
C0692358	subgroupOf	C0041942
C0976355	subgroupOf	C0012133
C1699036	subgroupOf	C0123091
C0691257	subgroupOf	C0108101
C0687801	subgroupOf	C0001927
C4257017	subgroupOf	C0132182
C0979541	subgroupOf	C0770456
C0978527	subgroupOf	C0609436
C0980835	subgroupOf	C0040989
C0790769	subgroupOf	C0032950
C2684227	subgroupOf	C0247194
C0980836	subgroupOf	C0040987
C0980610	subgroupOf	C0039771
C4056565	subgroupOf	C4056565
C0793481	subgroupOf	C0061863
C4085666	subgroupOf	C4079830
C0980968	subgroupOf	C0078569
C0690815	subgroupOf	C0033229
C0980832	subgroupOf	C0040989
C2242313	subgroupOf	C2343589
C0980947	subgroupOf	C0042313
C0938825	subgroupOf	C0005632
C0773178	subgroupOf	C0078774
C0980758	subgroupOf	C0724710
C4059374	subgroupOf	C0772139
C1576504	subgroupOf	C0146011
C0975148	subgroupOf	C0006681
C4048981	subgroupOf	C0771826
C1711760	subgroupOf	C0700563
C0994953	subgroupOf	C0700579
C0772615	subgroupOf	C0600311
C0979923	subgroupOf	C0034410
C0980741	subgroupOf	C0146011
C1615092	subgroupOf	C0249582
C2921407	subgroupOf	C2920039
C4019972	subgroupOf	C0257190
C0704670	subgroupOf	C0086135
C0976695	subgroupOf	C0287041
C1995698	subgroupOf	C1739826
C2926696	subgroupOf	C0017970
C0974919	subgroupOf	C0005088
C0691900	subgroupOf	C0041942
C0981209	subgroupOf	C0002645
C1966726	subgroupOf	C0146224
C0976049	subgroupOf	C0056831
C0977732	subgroupOf	C0589978
C4049001	subgroupOf	C0008809
C0772515	subgroupOf	C0012265
C1509419	subgroupOf	C0795604
C0980102	subgroupOf	C0216231
C0978137	subgroupOf	C0772342
C0976521	subgroupOf	C0114771
C0689283	subgroupOf	C0022252
C0980004	subgroupOf	C0282336
C0689204	subgroupOf	C0021246
C1329016	subgroupOf	C1176306
C0784786	subgroupOf	C0600901
C0982908	subgroupOf	C0772200
C1532857	subgroupOf	C0700468
C1168765	subgroupOf	C0393080
C2682854	subgroupOf	C0541315
C0980354	subgroupOf	C0038143
C3714825	subgroupOf	C0004906
C0789817	subgroupOf	C0037508
C1576508	subgroupOf	C0949312
C0975485	subgroupOf	C0001275
C1581187	subgroupOf	C0037508
C0980596	subgroupOf	C0039771
C3666772	subgroupOf	C0025033
C0688221	subgroupOf	C0007738
C0784817	subgroupOf	C0041942
C0980014	subgroupOf	C0073393
C0980012	subgroupOf	C0073393
C0980030	subgroupOf	C0762662
C0977335	subgroupOf	C0061938
C2731787	subgroupOf	C0117996
C0689771	subgroupOf	C0028094
C0979479	subgroupOf	C0031463
C3883465	subgroupOf	C3853822
C0690418	subgroupOf	C0038675
C4275380	subgroupOf	C0087000
C0989249	subgroupOf	C0032952
C1168865	subgroupOf	C0962603
C4048601	subgroupOf	C0064326
C0978891	subgroupOf	C0027353
C3192354	subgroupOf	C2973446
C0690426	subgroupOf	C0038742
C4074393	subgroupOf	C0027680
C4306302	subgroupOf	C0298067
C0976334	subgroupOf	C0012050
C0689139	subgroupOf	C0700533
C0688320	subgroupOf	C0008296
C4237940	subgroupOf	C3181682
C0689324	subgroupOf	C0023413
C0355713	subgroupOf	C0012010
C0980362	subgroupOf	C0164662
C0976121	subgroupOf	C0011777
C0688969	subgroupOf	C0017628
C3888181	subgroupOf	C0024480
C0978593	subgroupOf	C0025815
C0994521	subgroupOf	C0006681
C3536352	subgroupOf	C2347624
C0976585	subgroupOf	C0002260
C0977696	subgroupOf	C0004261
C0690471	subgroupOf	C0546879
C0976787	subgroupOf	C0014942
C0778012	subgroupOf	C0016298
C1877013	subgroupOf	C0936072
C0981770	subgroupOf	C0039925
C0687827	subgroupOf	C0051556
C1363003	subgroupOf	C0937846
C1320353	subgroupOf	C0074722
C0994948	subgroupOf	C0014708
C0690267	subgroupOf	C0034422
C1812858	subgroupOf	C0700563
C0979530	subgroupOf	C0031923
C0938674	subgroupOf	C0914729
C3257733	subgroupOf	C0907850
C0981163	subgroupOf	C0378466
C0980010	subgroupOf	C0073393
C3265084	subgroupOf	C2343921
C0978309	subgroupOf	C0065517
C3496858	subgroupOf	C0937846
C0975078	subgroupOf	C0304358
C0793131	subgroupOf	C0600110
C1320103	subgroupOf	C0533545
C0687874	subgroupOf	C0700523
C0692661	subgroupOf	C0109002
C0688924	subgroupOf	C0016374
C0689306	subgroupOf	C0022635
C1273283	subgroupOf	C0771029
C3883587	subgroupOf	C0030520
C1576460	subgroupOf	C0002333
C0981597	subgroupOf	C0024467
C0979076	subgroupOf	C0028741
C0781049	subgroupOf	C0078792
C0702309	subgroupOf	C0003166
C0977978	subgroupOf	C0022209
C0774322	subgroupOf	C0700525
C0980097	subgroupOf	C0073983
C3530520	subgroupOf	C1664205
C0977236	subgroupOf	C0018034
C0542683	subgroupOf	C0014563
C0979801	subgroupOf	C0033399
C1968016	subgroupOf	C0546869
C0976868	subgroupOf	C0060135
C0689153	subgroupOf	C0600110
C0691949	subgroupOf	C0149381
C0980847	subgroupOf	C0145932
C0689341	subgroupOf	C0596008
C0976476	subgroupOf	C0886883
C1577516	subgroupOf	C0546873
C1712080	subgroupOf	C0071751
C1960407	subgroupOf	C0125988
C0979502	subgroupOf	C0237417
C1531779	subgroupOf	C0937950
C0690436	subgroupOf	C0039286
C0693824	subgroupOf	C0054836
C0974322	subgroupOf	C0002640
C0693047	subgroupOf	C0048044
C0994837	subgroupOf	C0006681
C0690780	subgroupOf	C0072916
C1966361	subgroupOf	C1721377
C0689477	subgroupOf	C0700542
C0875554	subgroupOf	C0206515
C0979285	subgroupOf	C0055463
C0690754	subgroupOf	C0043474
C0975610	subgroupOf	C0355077
C1655767	subgroupOf	C0017861
C1591277	subgroupOf	C0030800
C0978647	subgroupOf	C0026056
C0974838	subgroupOf	C0770917
C4048855	subgroupOf	C2364481
C0939014	subgroupOf	C0040134
C0687789	subgroupOf	C0001367
C0981367	subgroupOf	C0007546
C0977071	subgroupOf	C0017066
C0692502	subgroupOf	C0022635
C0689571	subgroupOf	C0700545
C0977222	subgroupOf	C0063750
C1509569	subgroupOf	C0700545
C0708670	subgroupOf	C0017887
C0980112	subgroupOf	C0036442
C1306088	subgroupOf	C0546869
C0774066	subgroupOf	C0700542
C4306794	subgroupOf	C0980948
C0694079	subgroupOf	C0060389
C0692278	subgroupOf	C0209368
C3665250	subgroupOf	C0700452
C4046205	subgroupOf	C3886731
C0981606	subgroupOf	C0017887
C0979795	subgroupOf	C0033308
C0875900	subgroupOf	C0543470
C1572402	subgroupOf	C0024476
C0981508	subgroupOf	C0022176
C1329013	subgroupOf	C0913469
C0692501	subgroupOf	C0031412
C0979431	subgroupOf	C0031392
C3162457	subgroupOf	C1739768
C0978500	subgroupOf	C0721688
C4073596	subgroupOf	C2000145
C1177950	subgroupOf	C0689568
C0772979	subgroupOf	C0037494
C1177661	subgroupOf	C0759933
C0975548	subgroupOf	C0008275
C4033642	subgroupOf	C3885614
C0981220	subgroupOf	C0596005
C0688612	subgroupOf	C0012319
C0975419	subgroupOf	C0007562
C0709738	subgroupOf	C0700579
C2917759	subgroupOf	C1690432
C1177457	subgroupOf	C0717537
C0795388	subgroupOf	C0028833
C0974621	subgroupOf	C0004057
C0688308	subgroupOf	C0355077
C0980585	subgroupOf	C0039771
C1632280	subgroupOf	C1144149
C0979817	subgroupOf	C0546876
C0708055	subgroupOf	C0721688
C0977976	subgroupOf	C0022209
C0687958	subgroupOf	C0004320
C0790307	subgroupOf	C0016365
C4048338	subgroupOf	C0596005
C1815885	subgroupOf	C0064326
C0979782	subgroupOf	C0033218
C1177166	subgroupOf	C0796545
C1329173	subgroupOf	C0770893
C1509299	subgroupOf	C0700545
C0980916	subgroupOf	C0041660
C0978465	subgroupOf	C0025497
C3883338	subgroupOf	C0058731
C0355390	subgroupOf	C0025853
C0705010	subgroupOf	C0043491
C0783282	subgroupOf	C0050458
C0782979	subgroupOf	C0002371
C0775081	subgroupOf	C0304925
C4018432	subgroupOf	C0025872
C3475267	subgroupOf	C2001856
C0976475	subgroupOf	C0886883
C0981754	subgroupOf	C0040373
C0976028	subgroupOf	C0010525
C0979140	subgroupOf	C0029112
C0712032	subgroupOf	C0282140
C0975164	subgroupOf	C0006681
C1591231	subgroupOf	C0055895
C1576462	subgroupOf	C0002333
C1572467	subgroupOf	C0102840
C2343629	subgroupOf	C0980948
C0975400	subgroupOf	C0055014
C0355299	subgroupOf	C0022154
C1876921	subgroupOf	C0020316
C0691132	subgroupOf	C0004057
C0975232	subgroupOf	C0006945
C0690534	subgroupOf	C0039943
C0707574	subgroupOf	C0079691
C0689669	subgroupOf	C0066814
C2920039	subgroupOf	C0304352
C1165185	subgroupOf	C0076823
C1164980	subgroupOf	C1145760
C3200101	subgroupOf	C0055003
C0778369	subgroupOf	C0028902
C3692778	subgroupOf	C0546862
C0689289	subgroupOf	C0022265
C0979903	subgroupOf	C0087162
C0702858	subgroupOf	C0025386
C0974648	subgroupOf	C0596005
C3667437	subgroupOf	C0149381
C0980385	subgroupOf	C0038633
C0974593	subgroupOf	C0003968
C0981600	subgroupOf	C0066814
C0979276	subgroupOf	C0030350
C3267387	subgroupOf	C0304594
C1374408	subgroupOf	C0937950
C0980641	subgroupOf	C0039840
C0975744	subgroupOf	C0009033
C2684583	subgroupOf	C1872109
C0777478	subgroupOf	C0132776
C2718481	subgroupOf	C2719626
C0691084	subgroupOf	C0000970
C0980806	subgroupOf	C0040866
C0975713	subgroupOf	C0008947
C4048565	subgroupOf	C0010583
C0980273	subgroupOf	C0037518
C0980143	subgroupOf	C0142046
C1562712	subgroupOf	C0909839
C0978957	subgroupOf	C0027996
C0976878	subgroupOf	C0015846
C0697780	subgroupOf	C0064636
C3709678	subgroupOf	C0040845
C1141020	subgroupOf	C0039629
C0980756	subgroupOf	C0724710
C1612313	subgroupOf	C0014912
C0688667	subgroupOf	C0114873
C3871626	subgroupOf	C1872203
C3883591	subgroupOf	C0030520
C1813148	subgroupOf	C0015846
C0773182	subgroupOf	C0078794
C0938593	subgroupOf	C0012133
C0690582	subgroupOf	C0040233
C0977621	subgroupOf	C0020268
C0690809	subgroupOf	C0282131
C3872140	subgroupOf	C2975435
C3152814	subgroupOf	C0087000
C0712091	subgroupOf	C0282141
C1165101	subgroupOf	C0538927
C0974843	subgroupOf	C0004975
C0980503	subgroupOf	C0039543
C0716431	subgroupOf	C0086620
C1620306	subgroupOf	C0908935
C0977999	subgroupOf	C0022252
C0689200	subgroupOf	C0021186
C2684235	subgroupOf	C0247194
C0980856	subgroupOf	C0041056
C1164733	subgroupOf	C0009011
C2937816	subgroupOf	C0039607
C0974644	subgroupOf	C0596005
C1145745	subgroupOf	C0066814
C2726430	subgroupOf	C1831905
C0981633	subgroupOf	C0055578
C0688416	subgroupOf	C0010137
C0977620	subgroupOf	C0020268
C0358157	subgroupOf	C0546879
C0978565	subgroupOf	C0066282
C0691452	subgroupOf	C0016410
C0978380	subgroupOf	C0065879
C2343993	subgroupOf	C0075770
C0691200	subgroupOf	C0005088
C0795427	subgroupOf	C0087163
C4048818	subgroupOf	C1135132
C4294577	subgroupOf	C0282274
C0357997	subgroupOf	C0352536
C0781424	subgroupOf	C0875947
C0982638	subgroupOf	C0008280
C0689181	subgroupOf	C0589978
C0710355	subgroupOf	C0004963
C0688722	subgroupOf	C0014310
C4282277	subgroupOf	C0042680
C0704319	subgroupOf	C0060277
C0702375	subgroupOf	C0055617
C1164828	subgroupOf	C0937950
C0593670	subgroupOf	C0286738
C4056551	subgroupOf	C0006405
C3555648	subgroupOf	C0689845
C0688473	subgroupOf	C0700529
C3265688	subgroupOf	C0976950
C0689750	subgroupOf	C0027996
C0975227	subgroupOf	C0006938
C0975741	subgroupOf	C0070166
C0690023	subgroupOf	C0031937
C2608733	subgroupOf	C0040866
C1812982	subgroupOf	C1565750
C0789963	subgroupOf	C0008318
C0977099	subgroupOf	C3854019
C0980095	subgroupOf	C0073983
C2730027	subgroupOf	C0079691
C2947911	subgroupOf	C0060400
C0976378	subgroupOf	C0304520
C0794811	subgroupOf	C0023660
C4237932	subgroupOf	C3181682
C0976401	subgroupOf	C0700579
C4294581	subgroupOf	C0282274
C0692012	subgroupOf	C0087162
C0978364	subgroupOf	C0282227
C0979425	subgroupOf	C0960052
C0977348	subgroupOf	C0018549
C4282416	subgroupOf	C3245354
C0773971	subgroupOf	C0065864
C3204578	subgroupOf	C2974289
C0978133	subgroupOf	C0064870
C1337120	subgroupOf	C0014563
C0978698	subgroupOf	C0282249
C0980461	subgroupOf	C0039245
C2718638	subgroupOf	C0064326
C0689950	subgroupOf	C0148932
C0975766	subgroupOf	C0009137
C0981560	subgroupOf	C0282386
C0703693	subgroupOf	C0011777
C1635056	subgroupOf	C1635056
C0688669	subgroupOf	C0114873
C0689586	subgroupOf	C0025842
C0543210	subgroupOf	C0025872
C1276167	subgroupOf	C0087000
C0975797	subgroupOf	C0009170
C1455711	subgroupOf	C0033128
C4049037	subgroupOf	C0887621
C0980032	subgroupOf	C0762662
C0978743	subgroupOf	C0066814
C0691121	subgroupOf	C0002371
C0978570	subgroupOf	C0025729
C1876895	subgroupOf	C0700596
C0689549	subgroupOf	C0025696
C0689303	subgroupOf	C0022625
C3531310	subgroupOf	C0039871
C0979714	subgroupOf	C0139449
C3888301	subgroupOf	C0058731
