head_UMLS_CUI	relation	tail_UMLS_CUI
C0107994	CTD	C0020619
C0035525	CTD	C0029342
C0002403	CTD	C0029342
C0002598	CTD	C0034069
C0010583	CTD	C0034069
C0025815	CTD	C0034069
C0144576	CTD	C0034069
C0032952	CTD	C0034069
C0011777	CTD	C0034069
C1122962	CTD	C0034069
C0028156	CTD	C0034069
C0216784	CTD	C0034069
C0027996	CTD	C0020456
C0001962	CTD	C0020456
C0001927	CTD	C0020456
C0039542	CTD	C0020456
C0039771	CTD	C0020456
C0025815	CTD	C0020456
C0144576	CTD	C0020456
C0032952	CTD	C0020456
C0038432	CTD	C0020456
C0011777	CTD	C0020456
C0085149	CTD	C0020456
C0028040	CTD	C0020456
C0289313	CTD	C0020456
C0073393	CTD	C0020456
C0171023	CTD	C0020456
C0248719	CTD	C0020456
C0246415	CTD	C0020456
C0724441	CTD	C0020456
C0005308	CTD	C0033774
C0006400	CTD	C0033774
C0014563	CTD	C0033774
C0033487	CTD	C0033774
C0039644	CTD	C0033774
C0025815	CTD	C0033774
C0144576	CTD	C0033774
C0008286	CTD	C0033774
C0085149	CTD	C0033774
C0006949	CTD	C0033774
C0002600	CTD	C0033774
C0296800	CTD	C0033774
C0008809	CTD	C0033774
C0031507	CTD	C0033774
C0025153	CTD	C0033774
C0039736	CTD	C0033774
C0663241	CTD	C0033774
C0008783	CTD	C0033774
C0025386	CTD	C0033774
C0007562	CTD	C0033774
C0012010	CTD	C0033774
C0008269	CTD	C0033774
C0027360	CTD	C0033774
C0026549	CTD	C0033774
C0015846	CTD	C0033774
C0004482	CTD	C0033774
C0010620	CTD	C0033774
C0004609	CTD	C0033774
C0008947	CTD	C0033774
C0073571	CTD	C0033774
C0244656	CTD	C0033774
C0027358	CTD	C0033774
C0025376	CTD	C0033774
C0012522	CTD	C0033774
C0143993	CTD	C0033774
C0026078	CTD	C0033774
C0027996	CTD	C0007222
C0001962	CTD	C0007222
C0014563	CTD	C0007222
C0023870	CTD	C0007222
C0012373	CTD	C0007222
C0008838	CTD	C0007222
C0025598	CTD	C0007222
C0056855	CTD	C0007222
C0009079	CTD	C0007222
C0012203	CTD	C0007222
C0085149	CTD	C0007222
C0289313	CTD	C0007222
C0039601	CTD	C0007222
C0002600	CTD	C0007222
C0006400	CTD	C0021818
C0302583	CTD	C0035304
C0001927	CTD	C0024117
C0042523	CTD	C0024117
C0039542	CTD	C0024117
C0039771	CTD	C0024117
C0025677	CTD	C0024117
C0002575	CTD	C0024117
C0014025	CTD	C0024117
C0074554	CTD	C0024117
C0017970	CTD	C0024117
C0006400	CTD	C0018799
C0074722	CTD	C0018799
C0014563	CTD	C0018799
C0042523	CTD	C0018799
C0002598	CTD	C0018799
C0002679	CTD	C0018799
C0010583	CTD	C0018799
C0008838	CTD	C0018799
C0025598	CTD	C0018799
C0032950	CTD	C0018799
C0004147	CTD	C0018799
C0009079	CTD	C0018799
C0065864	CTD	C0018799
C0039601	CTD	C0018799
C0010961	CTD	C0014175
C0538927	CTD	C0014175
C0006644	CTD	C0014175
C0033308	CTD	C0014175
C0074554	CTD	C0014175
C0026088	CTD	C0014175
C0014912	CTD	C0036875
C0012203	CTD	C0036875
C0033308	CTD	C0036875
C0001962	CTD	C0029456
C0023870	CTD	C0029456
C0014912	CTD	C0029456
C0032952	CTD	C0029456
C0011777	CTD	C0029456
C0044410	CTD	C0029456
C0032950	CTD	C0029456
C0040845	CTD	C0029456
C0033497	CTD	C0029456
C0014025	CTD	C0029456
C0006644	CTD	C0029456
C0025611	CTD	C0029456
C0384228	CTD	C0029456
C0043603	CTD	C0029456
C0102118	CTD	C0029456
C0068395	CTD	C0029456
C0034272	CTD	C0027651
C0012582	CTD	C0027651
C0010711	CTD	C0027651
C0009010	CTD	C0027651
C0042291	CTD	C0027651
C0039840	CTD	C0027651
C0020823	CTD	C0027651
C0026259	CTD	C0027651
C0025815	CTD	C0027651
C0023413	CTD	C0027651
C1176309	CTD	C0027651
C0015133	CTD	C0027651
C0074414	CTD	C0007786
C0004057	CTD	C0007786
C0031923	CTD	C0007786
C0033487	CTD	C0007786
C0009170	CTD	C0007786
C0717550	CTD	C0007786
C0043031	CTD	C0007786
C0001443	CTD	C0007786
C0028128	CTD	C0007786
C0028066	CTD	C0007786
C0064870	CTD	C0009766
C0039286	CTD	C0035309
C0011145	CTD	C0035309
C0014964	CTD	C0035309
C0008269	CTD	C0035309
C0035608	CTD	C0023892
C0033308	CTD	C0023892
C0042523	CTD	C0235032
C0010711	CTD	C0235032
C0033487	CTD	C0235032
C0023870	CTD	C0235032
C0022209	CTD	C0235032
C0002598	CTD	C0235032
C0020823	CTD	C0235032
C0010583	CTD	C0235032
C0015133	CTD	C0235032
C0008838	CTD	C0235032
C0144576	CTD	C0235032
C0006949	CTD	C0235032
C0039601	CTD	C0235032
C0073393	CTD	C0235032
C0001047	CTD	C0235032
C0002600	CTD	C0235032
C0031412	CTD	C0235032
C0023570	CTD	C0235032
C0042679	CTD	C0235032
C0025677	CTD	C0235032
C0001962	CTD	C0033687
C0004147	CTD	C0033687
C0085149	CTD	C0033687
C0033215	CTD	C0033687
C0072980	CTD	C0033687
C0010592	CTD	C0033687
C0013089	CTD	C0033687
C0012004	CTD	C0033687
C0014025	CTD	C0033687
C0126174	CTD	C0033687
C0003968	CTD	C0458219
C0026549	CTD	C0458219
C0020823	CTD	C0030297
C0010583	CTD	C0030297
C0023413	CTD	C0030297
C0016360	CTD	C0030297
C0015133	CTD	C0030297
C0008838	CTD	C0030297
C0028040	CTD	C0030297
C0039286	CTD	C0030297
C0024027	CTD	C0030297
C0538927	CTD	C0030297
C0246415	CTD	C0030297
C0007257	CTD	C0030297
C0039286	CTD	C0005686
C0012772	CTD	C0005686
C0021246	CTD	C0005686
C0014582	CTD	C0005686
C0009170	CTD	C0014356
C0015133	CTD	C0030312
C0032952	CTD	C0030312
C0010961	CTD	C0030312
C0002144	CTD	C0030312
C0008286	CTD	C0030312
C0006949	CTD	C0030312
C0025677	CTD	C0030312
C0008168	CTD	C0030312
C0032952	CTD	C0022408
C0033487	CTD	C1142166
C0023870	CTD	C1142166
C0028420	CTD	C1142166
C0001888	CTD	C1142166
C0023660	CTD	C1142166
C0016229	CTD	C1142166
C0033429	CTD	C1142166
C0127615	CTD	C0011991
C0039925	CTD	C0011991
C0002679	CTD	C0011991
C0164662	CTD	C0011991
C0010583	CTD	C0011991
C0023413	CTD	C0011991
C0016360	CTD	C0011991
C0015133	CTD	C0011991
C0008838	CTD	C0011991
C0011777	CTD	C0011991
C0008286	CTD	C0011991
C0085149	CTD	C0011991
C0085208	CTD	C0011991
C0072980	CTD	C0011991
C0538927	CTD	C0011991
C0246415	CTD	C0011991
C0042679	CTD	C0011991
C0008809	CTD	C0011991
C0013090	CTD	C0011991
C0025677	CTD	C0011991
C0007557	CTD	C0011991
C0672708	CTD	C0011991
C0069717	CTD	C0011991
C0055856	CTD	C0011991
C0123931	CTD	C0011991
C0010592	CTD	C0011991
C0021246	CTD	C0011991
C0025153	CTD	C0011991
C0026933	CTD	C0011991
C0036078	CTD	C0011991
C0079083	CTD	C0011991
C0028978	CTD	C0011991
C0009262	CTD	C0011991
C0030840	CTD	C0011991
C0008783	CTD	C0011991
C0034414	CTD	C0011991
C0004320	CTD	C0011991
C0040207	CTD	C0011991
C0541315	CTD	C0011991
C0007537	CTD	C0011991
C0016610	CTD	C0011991
C0028902	CTD	C0011991
C0007554	CTD	C0011991
C0025872	CTD	C0011991
C2974289	CTD	C0011991
C0010583	CTD	C0206093
C0008838	CTD	C0206093
C0000981	CTD	C0035854
C0085149	CTD	C0035854
C0020268	CTD	C0035854
C0052796	CTD	C0035854
C0013090	CTD	C0035854
C0026187	CTD	C0035854
C0022265	CTD	C0035854
C0025872	CTD	C0035854
C0008947	CTD	C0035854
C0289313	CTD	C0040136
C0541315	CTD	C0040136
C0020268	CTD	C0001403
C0016280	CTD	C0001403
C0022265	CTD	C0028077
C0020823	CTD	C0027708
C0015133	CTD	C0027708
C0010934	CTD	C0027708
C0079083	CTD	C0027708
C0054836	CTD	C0003504
C0031007	CTD	C0003504
C0002679	CTD	C0025289
C0032952	CTD	C0025289
C0032950	CTD	C0025289
C0008809	CTD	C0025289
C0025677	CTD	C0025289
C0008168	CTD	C0025289
C0035608	CTD	C0025289
C0663241	CTD	C0025289
C0020740	CTD	C0025289
C0007554	CTD	C0025289
C0004609	CTD	C0025289
C0002499	CTD	C0025289
C0030827	CTD	C0014118
C0009170	CTD	C0014118
C0002680	CTD	C0014118
C0035608	CTD	C0014118
C0016277	CTD	C0014118
C0011892	CTD	C0014118
C0002499	CTD	C0014118
C0012963	CTD	C0016059
C0001962	CTD	C0016059
C0000970	CTD	C0016059
C0042523	CTD	C0016059
C0065374	CTD	C0016059
C0012373	CTD	C0016059
C0056855	CTD	C0016059
C0011777	CTD	C0016059
C0033228	CTD	C0016059
C0085149	CTD	C0016059
C0289313	CTD	C0016059
C0002600	CTD	C0016059
C0248719	CTD	C0016059
C0014710	CTD	C0016059
C0025842	CTD	C0016059
C0025677	CTD	C0016059
C0031507	CTD	C0016059
C0010592	CTD	C0016059
C0021246	CTD	C0016059
C0002335	CTD	C0016059
C0079083	CTD	C0016059
C0028978	CTD	C0016059
C0013089	CTD	C0016059
C0006463	CTD	C0016059
C0014025	CTD	C0016059
C0008286	CTD	C0023794
C0006949	CTD	C0006109
C0018546	CTD	C0752287
C0008286	CTD	C0011606
C0031412	CTD	C0011606
C0025677	CTD	C0011606
C0031507	CTD	C0011606
C0038425	CTD	C0011606
C0008269	CTD	C0011606
C0005308	CTD	C0022876
C0004057	CTD	C0022876
C0039542	CTD	C0022876
C0009170	CTD	C0022876
C0011777	CTD	C0022876
C0024480	CTD	C0022876
C0028066	CTD	C0022876
C0011892	CTD	C0022876
C0033308	CTD	C0022876
C0022267	CTD	C0022876
C0017887	CTD	C0022876
C0289313	CTD	C0001618
C0030827	CTD	C0032285
C0002598	CTD	C0032285
C0002679	CTD	C0032285
C0009170	CTD	C0032285
C0010583	CTD	C0032285
C0025815	CTD	C0032285
C0032952	CTD	C0032285
C0011777	CTD	C0032285
C0032950	CTD	C0032285
C0289313	CTD	C0032285
C0246415	CTD	C0032285
C0008809	CTD	C0032285
C0052796	CTD	C0032285
C0014806	CTD	C0032285
C0013090	CTD	C0032285
C0026187	CTD	C0032285
C0025677	CTD	C0032285
C0007257	CTD	C0032285
C0008168	CTD	C0032285
C0011015	CTD	C0032285
C0055856	CTD	C0032285
C0002680	CTD	C0032285
C0021246	CTD	C0032285
C0005740	CTD	C0032285
C0663241	CTD	C0032285
C0042313	CTD	C0032285
C0079083	CTD	C0032285
C0007561	CTD	C0032285
C0541315	CTD	C0032285
C0045093	CTD	C0032285
C1122962	CTD	C0032285
C0001962	CTD	C0376634
C0016860	CTD	C0020255
C0000981	CTD	C0020255
C0042291	CTD	C0020255
C0016410	CTD	C0020255
C0013089	CTD	C0020255
C0022265	CTD	C0020255
C0042839	CTD	C0020255
C0016860	CTD	C0020461
C0032825	CTD	C0020461
C0001927	CTD	C0020461
C0014563	CTD	C0020461
C0012373	CTD	C0020461
C0009170	CTD	C0020461
C0004147	CTD	C0020461
C0024480	CTD	C0020461
C0002645	CTD	C0020461
C0033497	CTD	C0020461
C0010592	CTD	C0020461
C0021246	CTD	C0020461
C0126174	CTD	C0020461
C0038792	CTD	C0020461
C0012582	CTD	C0002395
C0070122	CTD	C0002395
C0028040	CTD	C0002395
C0289313	CTD	C0002395
C0538927	CTD	C0002395
C0026187	CTD	C0002395
C0021246	CTD	C0002395
C0016410	CTD	C0002395
C0009262	CTD	C0002395
C0018546	CTD	C0002395
C0028128	CTD	C0002395
C0025219	CTD	C0002395
C0302583	CTD	C0002395
C0527316	CTD	C0002395
C0040805	CTD	C0002395
C0031849	CTD	C0002395
C0025646	CTD	C0598608
C0023570	CTD	C0598608
C0031507	CTD	C0598608
C0016410	CTD	C0598608
C0025219	CTD	C0598608
C0074554	CTD	C0598608
C0039771	CTD	C0027080
C0018549	CTD	C0027080
C0000608	CTD	C0027080
C0014277	CTD	C0027080
C0071097	CTD	C0010674
C0025677	CTD	C0010674
C0031955	CTD	C0010674
C0028902	CTD	C0010674
C0028066	CTD	C0010674
C0050940	CTD	C0010674
C0002499	CTD	C0010674
C0040341	CTD	C0010674
C0009316	CTD	C0010674
C0012582	CTD	C0242698
C0001927	CTD	C0242698
C0014563	CTD	C0242698
C0065374	CTD	C0242698
C0002598	CTD	C0242698
C0018549	CTD	C0242698
C0009170	CTD	C0242698
C0004147	CTD	C0242698
C0033215	CTD	C0242698
C0033497	CTD	C0242698
C0013089	CTD	C0242698
C0014025	CTD	C0242698
C0216784	CTD	C0242698
C0961485	CTD	C0242698
C0126174	CTD	C0242698
C0072973	CTD	C0242698
C0028066	CTD	C0242698
C0136123	CTD	C0242698
C0085208	CTD	C0040336
C1569608	CTD	C0040336
C0025029	CTD	C0040336
C0032952	CTD	C0034150
C0032950	CTD	C0034150
C0021246	CTD	C0034150
C0025241	CTD	C0002726
C0009262	CTD	C0002726
C0000970	CTD	C0085605
C0004057	CTD	C0085605
C0042291	CTD	C0085605
C0018549	CTD	C0085605
C0016384	CTD	C0085605
C0032952	CTD	C0085605
C0056855	CTD	C0085605
C0006949	CTD	C0085605
C0001047	CTD	C0085605
C0085208	CTD	C0085605
C0020934	CTD	C0085605
C0026187	CTD	C0085605
C0025677	CTD	C0085605
C0012772	CTD	C0085605
C0031507	CTD	C0085605
C0010927	CTD	C0085605
C0035608	CTD	C0085605
C0025644	CTD	C0085605
C0035525	CTD	C0085605
C0020740	CTD	C0085605
C0012133	CTD	C0085605
C0036078	CTD	C0085605
C0079083	CTD	C0085605
C0033511	CTD	C0085605
C0045093	CTD	C0085605
